Time,Source,Destination,Protocol,Length,Info
2.9078619999999997,10.218.72.130,107.22.189.119,TCP,55,[TCP segment of a reassembled PDU]
3.084143,107.22.189.119,10.218.72.130,TCP,66,443  >  13174 [ACK] Seq=1 Ack=2 Win=133 Len=0 SLE=1 SRE=2
9.852919,10.218.72.130,104.31.11.172,TCP,54,"13155  >  80 [FIN, ACK] Seq=1 Ack=1 Win=66 Len=0"
9.853199,10.218.72.130,216.58.204.35,TCP,54,"13165  >  80 [FIN, ACK] Seq=1 Ack=1 Win=68 Len=0"
9.853373,10.218.72.130,52.8.66.199,TCP,54,"13157  >  443 [FIN, ACK] Seq=1 Ack=1 Win=68 Len=0"
9.856085,10.218.72.130,104.31.10.172,TCP,66,13175  >  80 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
9.929469000000001,10.218.72.130,52.8.66.199,TCP,54,"13156  >  443 [FIN, ACK] Seq=1 Ack=1 Win=68 Len=0"
9.929663,10.218.72.130,54.192.35.120,TCP,54,"13162  >  443 [FIN, ACK] Seq=2 Ack=1 Win=67 Len=0"
9.929745,10.218.72.130,54.192.35.120,TCP,54,"13162  >  443 [RST, ACK] Seq=3 Ack=1 Win=0 Len=0"
9.929893,10.218.72.130,54.192.35.120,TCP,54,"13163  >  443 [FIN, ACK] Seq=2 Ack=1 Win=67 Len=0"
9.929967999999999,10.218.72.130,54.192.35.120,TCP,54,"13163  >  443 [RST, ACK] Seq=3 Ack=1 Win=0 Len=0"
9.930106,10.218.72.130,54.192.35.120,TCP,54,"13161  >  443 [FIN, ACK] Seq=2 Ack=1 Win=67 Len=0"
9.930182,10.218.72.130,54.192.35.120,TCP,54,"13161  >  443 [RST, ACK] Seq=3 Ack=1 Win=0 Len=0"
9.930317,10.218.72.130,54.192.35.120,TCP,54,"13159  >  443 [FIN, ACK] Seq=2 Ack=1 Win=63 Len=0"
